LA_Code,LA_Name,Code,Name,Sector,School_Type,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,ObjectId
350,Renfrewshire,8626928,Arkleston,Primary,Local Authority,365,383,413,392,400,400,403,399,384,374,370,367,337,321,333,330,323,312,325,327,307,296,271,1
350,Renfrewshire,8622620,Auchenlodment,Primary,Local Authority,370,380,355,329,310,293,289,281,263,252,233,219,234,226,211,218,212,216,202,192,179,186,189,2
350,Renfrewshire,8621829,Bargarran,Primary,Local Authority,364,364,370,347,343,352,324,302,279,266,264,247,237,248,256,262,252,244,244,251,238,228,226,3
350,Renfrewshire,8633223,Barsail,Primary,Local Authority,246,257,260,257,271,293,310,323,329,322,309,303,305,300,294,279,290,297,313,317,306,322,318,4
350,Renfrewshire,8621527,Bishopton,Primary,Local Authority,441,454,454,436,442,432,417,403,388,374,365,346,345,339,351,339,333,339,374,383,415,483,532,5
350,Renfrewshire,8624526,Brediland,Primary,Local Authority,534,494,489,482,471,436,426,395,391,382,366,345,347,341,331,311,291,300,299,285,271,258,250,6
350,Renfrewshire,8621624,Bridge of Weir,Primary,Local Authority,431,437,422,434,409,413,407,402,412,397,392,380,356,357,378,370,373,408,418,429,435,428,419,7
350,Renfrewshire,8624623,Bushes,Primary,Local Authority,414,426,411,408,430,436,415,407,418,399,415,372,351,355,353,361,346,349,360,344,358,377,371,8
350,Renfrewshire,8622728,Cochrane Castle,Primary,Local Authority,213,193,179,176,186,184,179,165,150,150,132,123,132,135,136,142,147,161,175,177,183,175,180,9
350,Renfrewshire,8624720,Craigielea Primary School,Primary,Local Authority,192,188,163,151,145,145,125,135,128,132,131,0,0,0,0,0,0,0,0,0,0,0,0,10
350,Renfrewshire,8623422,East Fulton,Primary,Local Authority,295,318,315,331,339,350,330,330,338,335,330,313,279,276,272,265,250,239,223,221,230,231,220,11
350,Renfrewshire,8624828,Ferguslie Primary School,Primary,Local Authority,255,226,210,218,201,169,163,166,131,127,111,0,0,0,0,0,0,0,0,0,0,0,0,12
350,Renfrewshire,8622124,Fordbank,Primary,Local Authority,263,271,289,264,256,236,229,221,221,222,203,197,195,192,185,184,186,187,171,190,191,213,237,13
350,Renfrewshire,8625026,Gallowhill,Primary,Local Authority,324,310,295,272,259,254,252,244,240,238,229,194,203,206,207,234,218,242,251,245,254,256,262,14
350,Renfrewshire,8620024,Glencoats Primary School,Primary,Local Authority,0,0,0,0,0,0,0,0,0,0,0,238,244,253,233,222,236,241,233,239,247,233,237,15
350,Renfrewshire,8624925,Heriot,Primary,Local Authority,382,380,377,366,339,337,324,322,300,285,272,253,244,248,258,255,257,257,267,250,253,263,267,16
350,Renfrewshire,8622221,Houston,Primary,Local Authority,468,468,468,463,453,444,442,436,436,438,424,428,455,465,474,478,482,505,497,481,486,503,511,17
350,Renfrewshire,8622426,Howwood,Primary,Local Authority,90,92,98,98,96,99,107,116,117,115,113,132,147,143,125,130,129,137,118,111,109,123,121,18
350,Renfrewshire,8622523,Inchinnan,Primary,Local Authority,208,215,203,197,191,183,175,173,172,174,164,159,149,147,148,141,136,134,124,124,127,140,138,19
350,Renfrewshire,8623228,Kilbarchan,Primary,Local Authority,361,364,340,339,338,330,341,312,285,261,247,246,226,216,228,235,239,235,234,249,247,250,256,20
350,Renfrewshire,8627029,Kirklandneuk,Primary,Local Authority,313,289,273,262,234,231,208,210,218,239,237,243,255,257,315,331,337,373,414,426,467,474,507,21
350,Renfrewshire,8643121,Langbank,Primary,Local Authority,82,82,93,86,84,79,80,86,76,72,76,67,73,72,68,73,70,68,75,72,74,68,68,22
350,Renfrewshire,8625123,Langcraigs,Primary,Local Authority,240,270,297,311,315,313,308,297,290,280,278,269,294,283,285,272,270,264,268,280,291,286,283,23
350,Renfrewshire,8625220,Lochfield,Primary,Local Authority,414,433,428,418,407,402,390,384,368,345,339,328,313,315,304,299,286,276,262,241,246,251,252,24
350,Renfrewshire,8623929,Lochwinnoch,Primary,Local Authority,264,260,258,248,249,253,258,254,253,250,260,266,255,251,256,255,266,257,258,266,261,243,223,25
